Madam Speaker|| folks, happy, americans
Mr. Speaker|| states, speaker, drama
<|endoftext|>|| order, service, health
Mr. Speaker|| american, president, republican
Mr. President|| president, support, war
Mr. Speaker|| high, oversight, violations
Mr. Speaker|| important, jobs, court
Mr. President|| food, attorney, general
Mr. Speaker|| extend, consent, unanimous
Mr. Chairman|| pursuant, vote, printed
Mr. President|| senate, purpose, president
Mr. Speaker|| obamacare, provider, texas
Mr. Chairman|| assistance, percent, strong
Mr. Speaker|| job, month, bush
<|endoftext|>|| liberal, absolutely, time
Mr. Chairman|| important, united, women
Mr. Speaker|| business, years, budget
Mr. President|| faa, prescription, texas
Mr. Speaker|| percent, businesses, marijuana
<|endoftext|>|| thing, number, colleagues
Mr. Speaker|| americans, rise, health
Madam Chairman|| history, reiterate, business
Mr. President|| today, august, recessed
Mr. Speaker|| read, suburbs, tribune
<|endoftext|>|| spend, states, education
Mr. Speaker|| civilian, eximbank, members
Mr. Speaker|| material, bill, unanimous
Mr. Chairman|| conference, chairman, india
Madam Speaker|| bill, signature, bipartisan
Mr. President|| tena, crime, committee
Mr. President|| passed, colleagues, pass
Mr. President|| alaska, finest, eielson
Mr. Speaker|| lost, federal, clinton
<|endoftext|>|| action, consent, nomination
<|endoftext|>|| appeals, court, senators
Mr. Speaker|| forever, speaker, drugs
Mr. President|| lautenberg, nation, pass
Mr. Speaker|| people, bill, funding
Mr. Speaker|| budget, balanced, limit
<|endoftext|>|| staff, bush, today
Mr. Chairman|| government, domestic, million
Mr. Speaker|| states, january, time
Mr. Speaker|| jersey, muslims, imam
Mr. Speaker|| library, rule, union
<|endoftext|>|| acknowledge, moon, oklahoma
Mr. President|| federal, president, class
Mr. President|| distinguished, move, amendment
Mr. Speaker|| minutes, direction, congress
Mr. Speaker|| crow, tribe, comments
Mr. President|| future, bill, american
Mr. Speaker|| stands, support, home
Mr. Chairman|| afternoon, comment, reference
<|endoftext|>|| understanding, congress, hawaii
Mr. Speaker|| tennessee, smuggler, bipartisan
Mr. President|| senate, make, families
Mr. President|| college, lives, intact
Mr. Speaker|| cuts, ability, cut
<|endoftext|>|| billion, congress, press
Madam President|| cleveland, washington, work
<|endoftext|>|| washington, important, tactics
Mr. President|| accepted, based, committee
Mr. President|| daschle, burns, hatfield
Mr. President|| tenure, adopt, responsibility
Mr. Speaker|| lesson, democratic, ribble
<|endoftext|>|| iowa, day, buy
Mr. Chairman|| rise, bill, cuts
Mr. President|| association, educational, teacher
Mr. Speaker|| checks, speak, heard
<|endoftext|>|| number, confines, work
Mr. Speaker|| scheduled, announce, speaker
Mr. Speaker|| saturday, rise, bethesda
Mr. Speaker|| trafficker, qualifies, cocaine
<|endoftext|>|| comply, enforce, yield
Mr. Speaker|| gentleman, res, suspend
Mr. President|| senator, bill, trade-offs
Mr. President|| offering, president, charitable
Mr. President|| tuesday, department, budget
Mr. President|| common, leaders, celebrates
Mr. Speaker|| veto, extraneous, extend
Mr. President|| washington, senator, african
<|endoftext|>|| rates, schools, president
<|endoftext|>|| bring, colleagues, amendment
Mr. Speaker|| americans, today, congresswoman
Madam President|| act, dollars, school
Mr. Speaker|| request, montgomery, tempore
Mr. Chairman|| technology, money, work
Mr. President|| conditions, law, abuse
<|endoftext|>|| midwest, tax, department
Madam President|| constitution, reauthorization, federalist
Mr. Chairman|| objection, committee, program
Mr. Chairman|| epa, longer, unhealthy
Mr. Speaker|| objection, legislative, request
Mr. Chairman|| today, massachusetts, demand
Mr. Speaker|| privileged, homeownership, mexico
<|endoftext|>|| committee, discuss, distinguished
Mr. Chairman|| side, debate, consent
Mr. Speaker|| friends, impacted, norton
Madam Speaker|| administration, speaker, res
Mr. President|| kentucky, rollcall, walker
Mr. Chairman|| constitution, chairman, elections
<|endoftext|>|| understand, committee, section
Mr. President|| pakistani, services, pentagon
Madam Speaker|| bill, member, chairman
Mr. Speaker|| life, september, scd
Mr. President|| president, years, sponsor
Mr. Chairman|| choose, proposal, stated
Mr. President|| national, president, park
Madam Chairman|| abortions, planned, attainder
<|endoftext|>|| cases, oversight, amendment
Mr. Chairman|| clinton, statements, george
<|endoftext|>|| times, read, relating
<|endoftext|>|| south, fact, gentleman
Madam Speaker|| members, speaker, insert
Madam Speaker|| meet, adjourn, speaker
Mr. Speaker|| time, chamber, campus
Mr. Chairman|| white-collar, million, limit
Mr. President|| answer, senator, lost
<|endoftext|>|| tragedy, back, american
Mr. President|| neighbors, states, japanese
Mr. Chairman|| vote, unable, votes
<|endoftext|>|| days, offered, day
Mr. President|| states, obama, insurance
Mr. Chairman|| amendment, acting, funding
<|endoftext|>|| poisons, russia, weapon
Mr. Chairman|| pay, festival, detail
Mr. President|| make, evening, occur
Mr. Speaker|| forests, encroachment, forest
Mr. Speaker|| active, politics, john
Mr. President|| papua, army, united
<|endoftext|>|| budget, gentleman, included
<|endoftext|>|| funds, prevents, field
Madam Speaker|| national, country, prevention
Mr. Speaker|| chamber, lobby, note
Madam Speaker|| iraq, freedom, yield
<|endoftext|>|| california, minute, creates
Mr. Speaker|| past, reached, american
Mr. President|| people, intelligence, nation
Madam President|| amendment, kennedy, majority
Madam Speaker|| deputy, law, speaker
Mr. President|| corps, veteran, army
Mr. Speaker|| leaders, hussein, bush
Mr. President|| time, veteran, secretary
Mr. President|| make, minute, statement
Madam President|| agreement, today, divided
Mr. Speaker|| children, hear, legislation
Madam Speaker|| businesses, federal, pay
Mr. President|| public, billion, express
<|endoftext|>|| clunkers, sold, processing
Mr. Speaker|| american, family, taxes
Madam President|| revenue, senate, house
Mr. President|| senator, europe, agreement
Mr. President|| huntingtown, capitol, united
Mr. President|| lawyers, bill, general
Madam President|| indiana, utility, ability
Mr. President|| people, page, staff
<|endoftext|>|| declaration, affect, existing
Mr. President|| final, debate, floor
<|endoftext|>|| security, tactic, american
Mr. Speaker|| sections, house, speaker
Mr. President|| senator, denied, record
Mr. Speaker|| minute, speaker, crowley
Mr. President|| president, retroactive, votes
Madam Speaker|| department, census, speaker
Madam President|| parents, senator, year
Madam President|| park, amendment, committee
Mr. Speaker|| construction, funds, appropriations
<|endoftext|>|| feds, configured, pay
Mr. President|| american, celebrating, businesses
<|endoftext|>|| knew, commitment, watch
Madam Speaker|| bill, speaker, fund
Mr. Speaker|| national, cuesta, california
Mr. Speaker|| brought, wrote, elko
Mr. President|| guarantee, program, raised
<|endoftext|>|| court, election, governor
Mr. Speaker|| support, house, homeland
Madam Speaker|| madam, remarks, silence
Mr. Chairman|| american, sacred, today
<|endoftext|>|| congresswoman, house, wonderful
Madam President|| unanimous, majority, amendment
Mr. Chairman|| starvation, american, america
Mr. Chairman|| back, support, pennsylvania
<|endoftext|>|| senator, offer, courtesy
<|endoftext|>|| talk, purse, answer
Mr. Chairman|| amendment, katrina, nation
Mr. President|| house, amendment, balance
Mr. Speaker|| obstacles, regime, association
Mr. Speaker|| rule, subject, limit
<|endoftext|>|| bases, number, standing
Mr. Chairman|| years, kind, planned
<|endoftext|>|| surplus, years, billion
Mr. President|| share, army, place
Mr. Speaker|| constitution, anti-immigrant, america
<|endoftext|>|| game, system, hampshire
Mr. Speaker|| week, time, resolution
<|endoftext|>|| federal, detroit, states
Mr. President|| friend, making, freedom
Mr. Speaker|| effect, agenda, taking
Mr. Speaker|| congress, credit, committees
Madam Speaker|| keystone, jobs, federal
<|endoftext|>|| backlogs, category, reunited
Mr. Chairman|| opposition, colorado, favor
Mr. Chairman|| law, regulations, oppose
<|endoftext|>|| florida, admired, comparison
Mr. Speaker|| russians, joining, taliban
Mr. President|| proposal, persistent, committee
Mr. President|| community, luzerne, courthouse
Mr. Speaker|| benefits, continue, speaker
Mr. President|| raise, senator, make
Mr. Speaker|| flying, fire, distinguished
Mr. Chairman|| international, chairman, house
Mr. President|| previous, unanimous, adjourned
Mr. Speaker|| treating, percent, arc
