Mr. President|| morning, 10:30, president
Mr. President|| prior, bill, moving
Mr. Speaker|| radical, combatants, terrorists
Mr. President|| suggest, half, member
<|endoftext|>|| deference, deleted, deletions
Mr. President|| reform, president, consent
<|endoftext|>|| times, education, colleagues
<|endoftext|>|| desk, staff, amendment
Mr. Speaker|| whales, district, shoup
Mr. Speaker|| american, colorado, issue
Mr. President|| sort, sides, time
Mr. President|| heartfield, thursday, sidney
Mr. President|| process, balance, percent
Mr. Speaker|| strongly, increase, speaker
<|endoftext|>|| world, barney, peacenik
<|endoftext|>|| good, states, journal
Mr. Chairman|| rise, troops, supplemental
<|endoftext|>|| trail, making, people
<|endoftext|>|| sounds, good, join
<|endoftext|>|| vietnam, peterson, colleague
Mr. Speaker|| islands, extend, revise
Mr. Chairman|| question, house, chair
<|endoftext|>|| big, supreme, law
<|endoftext|>|| brought, clinton, administration
<|endoftext|>|| insurance, woman, food
Mr. Speaker|| material, request, days
Madam President|| korean, students, president
Mr. President|| charitable, authorized, consent
Mr. President|| national, investment, future
Mr. President|| bill, consent, read
<|endoftext|>|| occupation, routed, sides
Madam Speaker|| governments, state, federal
Mr. Speaker|| forces, government, national
Mr. President|| proviso, opportunity, agree
<|endoftext|>|| amendment, president, energy
<|endoftext|>|| kerry, schumer, florida
Mr. President|| senator, members, asserting
Mr. President|| senator, serve, act
Mr. Chairman|| collections, committee, congress
Mr. Speaker|| cody, richie, jordan
Mr. President|| colleges, local, nation
<|endoftext|>|| aware, ample, assurance
Mr. President|| trillion, government, health
Madam Speaker|| oklahoma, city, gasoline
<|endoftext|>|| herman, georgia, minute
Mr. President|| act, extension, research
Mr. Chairman|| chairman, payments, wanted
Mr. President|| absence, approach, president
Mr. Speaker|| medicare, seniors, state
<|endoftext|>|| president, chair, senate
Mr. Speaker|| runs, people, player
Mr. Chairman|| work, great, briefly
Madam Speaker|| pregnancy, working, speaker
Mr. Speaker|| enlistees, insurance, armed
Mr. Speaker|| yielding, region, continuing
<|endoftext|>|| increased, pocket, energy
<|endoftext|>|| file, senator, couple
Madam President|| agreement, entered, pending
<|endoftext|>|| frustration, november, ideology
Mr. Speaker|| speaker, inadvertently, made
Mr. President|| important, january, series
Mr. President|| creating, labor, health
Mr. Chairman; I will be very|| terrible, law, clinton
Mr. Speaker|| proud, care, congress
Mr. Speaker|| speaker, importance, consume
Mr. Speaker|| gentleman, marketplace, bill
Mr. Speaker|| back, follow, gridlock
Mr. Chairman|| quorum, present, withdrawn
Mr. Chairman|| reduced, states, effect
Madam President|| chamber, announced, senator
Madam President|| raise, washington, quote
<|endoftext|>|| senator, stronger, north
<|endoftext|>|| chairman, committee, years
Mr. Speaker|| prodemocracy, beijing, commitment
Mr. President|| chairman, services, wednesday
Mr. Chairman|| rule, make, clause
<|endoftext|>|| party, strong, address
Mr. Speaker|| motion, courtney, chair
<|endoftext|>|| rules, continuing, gentleman
<|endoftext|>|| bill, differences, gentleman
<|endoftext|>|| morning, objection, point
Mr. Chairman|| strange, floor, gentleman
Mr. President|| closed, defense, services
Mr. President|| tax, motion, conferees
<|endoftext|>|| hispanic, chamber, year
Mr. President|| president, major, dakota
<|endoftext|>|| washington, record-breaking, amendments
Mr. President|| session, current, june
Mr. Speaker|| corrections, time, speaker
<|endoftext|>|| presented, hopeful, specter
Mr. Speaker|| request, res, consent
