Mr. Speaker|| status, discretionary, legislation
<|endoftext|>|| amendment, brown, vote
Mr. Speaker|| consume, support, colleagues
Mr. Speaker|| conference, house, yield
Mr. President|| service, housing, members
Mr. Chairman|| norwood, establishes, senate
Mr. Chairman|| jersey, union, opinion
Mr. President|| west, robert, president
Mr. President|| defense, men, president
Madam Chair|| consume, emergencies, emergency
Mr. Chairman|| minot, weapons, base
Mr. President|| threat, amendment, saddam
Mr. President|| leader, amendments, cantwell
<|endoftext|>|| guy, policies, jobs
Mr. Chairman|| parental, downpayment, consume
<|endoftext|>|| icac, million, internet
<|endoftext|>|| senators, south, senator
Mr. Speaker|| floor, gentleman, resources
<|endoftext|>|| working, efforts, alcohol
Madam Speaker|| social, crisis, invented
Mr. Speaker|| proposal, americans, drug
Mr. President|| colleagues, system, feingold
Mr. Chairman|| amtrak, knollenberg, routes
<|endoftext|>|| talking, changed, respect
Mr. President|| revenues, universal, measure
Mr. Speaker|| obey, speaker, people
Mr. Speaker|| offered, yielding, democrats
Mr. Speaker|| government, americans, speak
Mr. Speaker|| bill, unanimous, technical
Mr. Speaker|| nation, local, consume
Madam President|| metzenbaum, issue, secretary
Mr. Speaker|| speaker, knees, cutting
Mr. Chairman|| home, united, area
<|endoftext|>|| minutes, permitted, morning
Mr. President|| powered, cbo, side
Mr. Speaker|| pro, objection, gentleman
<|endoftext|>|| categories, people, wyoming
Mr. Chairman|| working, chairman, support
Mr. President|| senator, retroactive, county
<|endoftext|>|| american, gentleman, joe
Mr. Speaker|| michigan, tempore, led
<|endoftext|>|| point, president, morning
<|endoftext|>|| bethesda, rules, health
Mr. Chairman|| democrats, fund, people
<|endoftext|>|| data, legislation, record
Mr. President|| government, refusing, debt
Mr. President|| report, evidence, time
Madam President|| patrol, lot, united
Mr. Chairman|| nebraska, gentleman, pleased
<|endoftext|>|| day, drink, terms
<|endoftext|>|| occasions, decisions, simply
Mr. President|| house, threshold, overtime
Mr. President|| killed, data, officers
Mr. Speaker|| bottom, parenthood, planned
Mr. President|| heritage, president, bill
Madam Speaker|| georgia, happy, wisconsin
Mr. Speaker|| democrat, people, taxpayers
Mr. President|| amendment, offered, rescission
Mr. Speaker|| pro, consent, members
Mr. President|| senate, increase, floor
Mr. Speaker|| people, gain, border
Mr. Speaker|| agreement, simply, yield
<|endoftext|>|| farm, substitute, compromise
Mr. President|| vote, divided, act
Mr. President|| today, republicans, tuesday
Mr. Chairman|| chairman, poverty, consume
Mr. Speaker|| state, protect, individuals
<|endoftext|>|| sorts, adding, goods
Mr. Speaker|| shameful, speaker, joining
Mr. Speaker|| reduction, act, california
Madam Speaker|| support, cultural, iraq
Mr. Speaker|| united, changing, aviation
<|endoftext|>|| people, wyoming, president
Mr. President|| tempore, president, kennedy
Mr. Chairman|| offense, section, chairman
<|endoftext|>|| ros, funding, funds
<|endoftext|>|| local, inquiry, gao
<|endoftext|>|| read, tennessee, amendment
